Country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
Albania,-1.789567805,1.779270251,1.008428956,-0.60460113,0.723230207,0.629274906,0.432792846,0.716112863,0.369387361,0.054928574,-0.290197362,-1.346974985,0.043728281,0.266732185,-0.385897742,-0.571344052,0.093785657,-0.105866708,0.347603119,0.327372108,0.316398407,0.042779687,0.457187695,0.338750669,-0.330417051,0.291368945,0.177989738,-0.020716512,0.028739106,0.009669957
Argentina,-2.784904175,1.073561221,1.487719485,-0.96431353,0.441763522,-0.89346793,-0.56068504,0.003803938,0.346982175,-0.525187741,-0.44655328,0.767926423,0.381649899,-0.399939146,0.557878126,0.097579057,-0.034433659,0.073134167,-0.361373874,-0.454345254,0.03719237,-0.103074139,0.080194119,0.209640055,-0.176105421,-0.002715579,-0.061580272,-0.064764321,0.062584431,0.027525237
Armenia,-2.074465797,1.867513992,0.519535733,-0.982005836,1.198356472,-0.817915081,0.533069279,-0.241470855,0.026082258,0.546785196,0.478209517,0.618394253,-0.376200656,-0.844387006,0.167368475,0.066242251,-0.425726834,0.165859572,-0.015540335,0.095327354,0.571512769,-0.113792206,-0.013101606,-0.069420949,0.069114452,0.090436331,0.091193955,0.094430011,0.049472801,-0.012524592
Australia,-4.642466136,-1.852177372,0.589351599,0.602366907,-0.995534391,0.145570521,-0.483539319,0.069924402,-0.717024696,0.124165575,0.444174659,0.042926184,-0.095953953,-0.218128497,0.11986738,-0.14003235,-0.129733171,0.045612686,-0.193489142,-0.102078127,-0.069401516,-0.129992262,-0.026283709,-0.081880874,0.036053484,-0.05117868,-0.071417433,-0.043204851,-0.136579171,-0.021254548
Austria,-4.115412225,-0.684866929,-0.029146746,0.460880188,0.005724613,0.265493652,0.612594693,0.790858441,0.055087124,-0.569979323,-0.716811079,0.556408365,1.484157475,-0.888436988,0.245050408,0.712812465,0.260466154,-0.439759107,-0.331911612,-0.264238082,0.222203307,-0.015088999,-0.091120361,0.036118825,-0.050495989,-0.115660921,-0.147555905,-0.052041851,-0.017780983,0.00122344
Azerbaijan,-1.055318078,-0.209469946,-0.688417325,-0.58303792,0.449329805,-0.508502396,0.368133566,-0.963959652,-0.375977442,0.243256286,0.607722787,0.411045201,0.075325483,-0.665813533,0.490638245,-0.345785186,0.353165043,-0.554388141,0.645932272,0.373748984,-0.001819392,-0.131274338,-0.137312393,0.006697862,0.109793651,0.142536982,-0.067511366,-0.087604195,0.113568769,-0.041415771
Bangladesh,2.395381816,4.343436102,1.849979803,-1.824900069,1.614611473,2.709379405,-0.395722841,0.504647884,-0.231480045,-0.838485084,0.498846442,0.041388496,-0.585415259,-0.679121755,0.35241878,-0.946982712,-0.410437394,0.607212728,-0.241916936,-0.749831279,0.496450394,0.107403917,0.250835438,0.154765152,-0.025218071,-0.234970358,-0.092012801,0.047858649,-0.055781741,0.01052139
Barbados,-2.546492165,0.501178705,1.309899463,-1.160180484,-0.310833701,-0.732339583,-0.255967598,0.205504462,-0.82535469,-0.42078706,-0.069040431,-0.971082824,0.934325895,0.072923573,0.778822725,-0.607295976,0.482416096,-0.285685674,0.262219532,-0.198163803,-0.383075502,0.253377604,0.101052582,-0.013536468,-0.049481735,-0.019931717,0.037490591,-0.086412933,0.055513239,-0.016117473
Belarus,-2.7052528,0.544568191,-0.454569465,1.878418002,0.84543655,-1.60192789,0.964017128,-0.180232176,0.008790264,1.362997522,0.767602222,0.673697669,0.024408238,-0.305472885,0.112303246,-0.029313962,0.201218162,0.547532071,0.03092453,0.00136059,-0.723709857,0.251887311,-0.227304502,0.314962378,-0.020348545,0.000202517,-0.030993559,0.046670507,0.030829763,0.037807794
Benin,7.670596757,0.303937456,2.90351108,-0.144155279,-0.205855655,-0.691046673,0.595596129,0.103743027,0.76119361,-0.004204497,0.69031959,-1.787962431,-0.303853402,-1.015250171,-0.171701555,0.3655132,-0.207593292,-0.163702025,-0.154580509,-0.207286001,0.261996433,-0.182261119,0.572631678,-0.047215624,0.276371254,-0.011090182,-0.106162129,0.164183607,0.00121641,-0.005079009
